SMILES,BDE,IP,PDE,PA,ETE
"[H][C@@](C)(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)Oc1c(F)c(F)c(F)c(F)c1F
",70.94351,187.956943,77.39568,264.60095,62.37887304
"[H][C@@](Cc1ccc(OC(C)(C)C)cc1)(NC(=O)OC(C)(C)C)C(=O)O
",70.47656,178.461403,87.4129,265.12263,61.39024304
"[H][C@@](CCC(=O)OC(C)(C)C)(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)Oc1c(F)c(F)c(F)c(F)c1F
",63.56953,191.012433,68.17332,258.43408,61.17176304
"[H][C@@]1([C@]2([H])OC(=O)c3c2ccc2c3OCO2)c2cc3c(cc2CCN1C)OCO3
",65.334,186.986433,90.41117,276.64593,44.72438304
"[H][C@@]12c3cc(O)c(O)cc3C[C@]1(O)COc1c2ccc(O)c1O
",69.92875,194.786863,69.80996,263.84515,62.11991304
"[H][C@@]12CC(=O)[C@@H](CC(C)C)CN1CCc1cc(OC)c(OC)cc12
",61.51856,171.682423,115.71168,286.64243,30.91244304
"[H][C@@]12CC(=O)N3c4cc(OC)c(OC)cc4[C@]45CCN6CC(=CCO1)[C@H](C[C@H]64)[C@]2([H])[C@]35[H]
",69.09961,158.972283,124.20996,282.43057,42.70535304
"[H][C@@]12Cc3ccc(OC)c(OC)c3CN1CCc1cc(OC)c(OC)cc12
",64.95806,166.866463,125.55164,291.66643,29.32794304
"[H][C@@]12CCc3cc(C(C)C)c(O)c(O)c3[C@@]1(C(=O)O)CCCC2(C)C
",65.33897,185.948593,70.66595,255.86287,65.51241304
"[H][C@@]12CCc3cc(C(C)C)c(O)cc3[C@@]1(C(=O)O)CCCC2(C)C
",66.71551,182.220863,95.23896,276.70815,46.04367304
"[H][C@@]12COc3cc(OC)c(OC)cc3[C@]1([H])C(=O)c1ccc3c(c1O2)C[C@H](C(=C)C)O3
",72.09905,165.457883,103.73036,268.43657,59.69879304
"[H][C@@]12O[C@H](CO)[C@@H](O)[C@H](O)[C@@]1([H])OC(=O)c1cc(O)c(OC)c(O)c12
",67.86834,188.642613,57.78749,245.67843,78.22622304
"[H][C@](Cc1ccc(O)cc1)(NC(=O)OC(C)(C)C)C(=O)O
",67.57246,191.473703,71.81092,262.53295,61.07582304
"[H][C@](Cc1ccc(O)cc1)(NC(=O)OCc1ccccc1)C(=O)O
",68.09313,195.151263,66.01276,260.41235,63.71709304
"[H][C@](N)(Cc1ccc(O)c(F)c1)C(=O)O
",60.21482,194.771003,68.76177,262.7811,53.47003304
"[H][C@](N)(Cc1ccc(O)cc1)C(=O)OC(C)(C)C
",65.20663,189.094953,86.89227,275.23555,46.00739304
"[H][C@](N)(Cc1ccc(OCc2ccccc2)cc1)C(=O)O
",66.42604,182.061263,86.50516,267.81475,54.64760304
