Name,SMILES,H_ORAC,STDEV.S,SE,TOTAL,Electronic,Core,Gradient,COSMO_AREA,COSMO_VOLUME,HOMO,LUMO,WEIGHT,DIPOLE,BDE,IP,PDE,PA,ETE,TPSA,MolLogP
trolox,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,1,0,0,-3145.0764,-21959.57095,18814.49455,0.04495,262.68,299.23,-8.56,0,250.2938,4.57857,74.91206,176.981093,97.8744,274.10382,56.84455304,66.76,2.48576
phenol,Oc1ccccc1,1.757808685,0.196313088,0.113341414,-1113.01985,-4432.63311,3319.61325,0.04672,129.55,119.29,-9.235,0.036,94.1128,1.30787,82.34942,200.170693,79.2594,278.67842,59.70731304,20.23,1.3922
2_methylphenol,Cc1ccccc1O,1.168808193,0.182117004,0.105145301,-1263.12812,-5616.64944,4353.52132,0.02839,146.74,140.2,-9.004,0.155,108.1396,0.74536,80.03128,193.746273,87.01572,280.01032,56.05727304,20.23,1.70062
3_methylphenol,Cc1cccc(O)c1,1.63516601,0.111715166,0.064498781,-1263.19402,-5554.59404,4291.40002,0.04634,148.16,140.49,-9.137,0.167,108.1396,0.91497,82.39959,196.599783,83.61981,279.46792,58.96798304,20.23,1.70062
4_methylphenol,Cc1ccc(O)cc1,1.020700865,0.107994311,0.062350545,-1263.1509,-5541.83011,4278.6792,0.03877,148.31,140.71,-8.926,0.095,108.1396,1.55691,80.369,192.367843,88.65079,280.26696,56.13835304,20.23,1.70062
2_methoxyphenol,COc1ccccc1O,2.494500123,0.077957698,0.045008898,-1557.84801,-7058.87772,5501.02971,0.04299,157.07,150.93,-8.765,0.114,124.139,2.72302,78.45788,186.669813,96.55124,282.46938,52.02481304,29.46,1.4008
3_methoxyphenol,COc1cccc(O)c1,3.083945898,0.452263258,0.261114314,-1558.03866,-6960.07446,5402.0358,0.04496,158.49,152.15,-9.003,0.153,124.139,2.03606,84.66474,191.664793,86.29594,277.20906,63.49199304,29.46,1.4008
4_methoxyphenol,COc1ccc(O)cc1,2.852248499,0.151053934,0.08721103,-1557.89876,-6939.65299,5381.75423,0.0334,158.72,152.33,-8.575,0.061,124.139,0.81415,77.51462,183.448173,97.77203,280.46853,53.08240304,29.46,1.4008
1_2_benzenediol,Oc1ccccc1O,3.964658833,0.294480329,0.170018297,-1408.34107,-5782.44605,4374.10498,0.04661,138.29,129.49,-8.94,0.038,110.1122,2.25984,75.57752,191.976073,81.76317,272.98757,58.62626304,40.46,1.0978
1_3_benzenediol,Oc1cccc(O)c1,1.941352966,0.331601894,0.191450443,-1408.52628,-5719.37283,4310.84655,0.04021,139.37,130.36,-9.207,0.016,110.1122,1.26167,83.43786,197.125653,77.43676,273.81074,65.66343304,40.46,1.0978
1_4_benzenediol,Oc1ccc(O)cc1,11.61401352,0.536783323,0.309911996,-1408.38665,-5703.77431,4295.38765,0.03724,139.72,130.83,-8.786,0.21,110.1122,7.00E-05,78.14842,189.157903,90.14444,278.55067,55.63406304,40.46,1.0978
trans_Ferulic_acid,COc1cc(/C=C/C(=O)O)ccc1O,3.474457484,0.21594162,0.124673953,-2544.09234,-13150.71283,10606.62049,0.04884,224.1,224.95,-8.984,0.926,194.1866,2.6461,78.02097,189.251063,74.11718,262.61657,71.44071304,66.76,1.4986
trans_Coumaric_acid,O=C(O)/C=C/c1ccc(O)cc1,3.765554218,0.178791974,0.103225594,-2099.26788,-9886.9788,7787.71091,0.04172,196.61,193.73,-9.345,0.944,164.1604,2.73899,81.85775,198.028383,61.82535,259.10206,78.79200304,57.53,1.49
1_2_3_benzenetriol,Oc1cccc(O)c1O,1.38419266,0.315613218,0.182219376,-1703.71159,-7235.04005,5531.32846,0.04385,147.02,139.9,-9.002,0.01,126.1116,2.54092,76.07888,191.379123,78.67324,269.30069,62.81450304,60.69,0.8034
1_2_4_benzenetriol,Oc1ccc(O)c(O)c1,2.304968814,0.152081209,0.087804127,-1703.7583,-7157.68465,5453.92634,0.03234,148.25,140.94,-8.686,0.202,126.1116,1.36076,75.36958,185.278943,83.5115,268.03877,63.36712304,60.69,0.8034
1_3_5_benzenetriol,Oc1cc(O)cc(O)c1,3.133315225,0.294186865,0.169848866,-1704.07087,-7111.42606,5407.35519,0.0446,149.86,142.27,-9.461,0.145,126.1116,0.00027,87.07664,201.243983,70.44002,270.93233,72.18062304,60.69,0.8034
2_hydroxybenzaldehyde,O=Cc1ccccc1O,2.653306201,0.578577154,0.334041675,-1531.05126,-6614.08718,5083.03592,0.0391,148.61,142.21,-9.498,0.91,122.1232,3.14454,78.9953,203.064133,76.33337,278.64583,56.38578304,37.3,1.2047
3_hydroxybenzaldehyde,O=Cc1cccc(O)c1,2.648171706,0.646247462,0.373111146,-1530.83534,-6480.39196,4949.55663,0.04281,152.71,146.12,-9.547,0.835,122.1232,1.82304,75.47423,205.358923,67.17733,271.78458,59.72596304,37.3,1.2047
4_hydroxybenzaldehyde,O=Cc1ccc(O)cc1,3.646481735,0.549084847,0.317014284,-1530.91614,-6456.49088,4925.57474,0.04188,152.38,145.77,-9.627,0.653,122.1232,2.5297,75.01767,207.030373,57.54917,263.82787,67.22611304,37.3,1.2047
2_hydroxybenzoic_acid,O=C(O)c1ccccc1O,0.247951511,0.176974227,0.102176118,-1827.114,-8131.28961,6304.17561,0.04771,157.5,152.28,-9.59,0.874,138.1226,2.21091,93.26497,204.238683,69.71659,273.2036,76.09768304,57.53,1.0904
3_hydroxybenzoic_acid,O=C(O)c1cccc(O)c1,1.604418843,0.314130319,0.181363224,-1826.92123,-7964.25895,6137.33772,0.04873,161.49,155.95,-9.615,0.879,138.1226,1.02396,83.49153,206.530823,64.21998,269.99913,69.52871304,57.53,1.0904
